Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
63,Ignas Brazdeikis,SF,22,NYK,4,0,7,0,1,0.0,0,0,,0,1,0.0,2,2,1.0,1,1,2,1,0,0,1,0,2
64,Mikal Bridges,SF,24,PHO,35,35,1131,172,328,0.524,66,157,0.42,106,171,0.62,69,82,0.841,47,130,177,77,25,33,27,56,479
65,Miles Bridges,PFa,22,CHO,35,2,937,132,269,0.491,46,120,0.38299999999999995,86,149,0.5770000000000001,41,44,0.932,45,155,200,73,25,25,60,83,351
66,Malcolm Brogdon,PG,28,IND,34,34,1211,276,617,0.447,82,217,0.37799999999999995,194,400,0.485,87,97,0.897,27,131,158,212,40,8,71,64,721
67,Dillon Brooks,SF,25,MEM,29,29,846,176,444,0.396,54,169,0.32,122,275,0.444,55,66,0.833,28,63,91,76,41,14,59,95,461
68,Bruce Brown,PG,24,BRK,33,20,698,118,200,0.59,9,33,0.273,109,167,0.653,38,53,0.7170000000000001,51,103,154,46,26,10,26,69,283
69,Jaylen Brown,SG,24,BOS,33,33,1115,305,616,0.495,76,196,0.38799999999999996,229,420,0.545,129,167,0.772,37,147,184,129,36,16,93,96,815
70,Moses Brown,C,21,OKC,7,0,31,7,10,0.7,0,0,,7,10,0.7,7,14,0.5,4,11,15,3,1,4,1,4,21
71,Sterling Brown,SG,25,HOU,32,2,713,86,196,0.439,51,127,0.402,35,69,0.507,14,15,0.9329999999999999,22,112,134,55,31,7,25,64,237
72,Troy Brown Jr.,SF,21,WAS,17,0,231,26,71,0.366,11,38,0.289,15,33,0.455,7,12,0.583,8,43,51,13,2,2,12,25,70
73,Jalen Brunson,PG,24,DAL,30,7,748,139,262,0.531,39,97,0.402,100,165,0.606,64,75,0.853,6,99,105,101,16,0,38,45,381
74,Thomas Bryant,C,23,WAS,10,10,271,59,91,0.648,9,21,0.429,50,70,0.7140000000000001,16,24,0.667,18,43,61,15,4,8,11,31,143
75,Reggie Bullock,SF,29,NYK,32,32,841,99,244,0.406,55,148,0.37200000000000005,44,96,0.45799999999999996,20,24,0.833,10,99,109,42,20,7,23,69,273
76,Trey Burke,PG,28,DAL,33,0,537,92,205,0.449,41,104,0.39399999999999996,51,101,0.505,27,31,0.871,4,30,34,53,22,2,19,41,252
77,Alec Burks,SG,29,NYK,25,3,617,92,227,0.405,47,117,0.402,45,110,0.409,47,56,0.8390000000000001,12,96,108,51,18,5,27,48,278
78,Jimmy Butler,SF,31,MIA,22,22,729,143,315,0.45399999999999996,8,34,0.235,135,281,0.48,158,183,0.863,44,122,166,172,42,8,51,26,452
79,Bruno Caboclo,PF,25,HOU,6,0,36,8,17,0.47100000000000003,0,5,0.0,8,12,0.667,1,2,0.5,3,11,14,1,0,2,4,6,17
80,Devontae Cacok,PF,24,LAL,4,0,17,4,4,1.0,0,0,,4,4,1.0,0,2,0.0,1,4,5,0,2,0,2,0,8
81,Kentavious Caldwell-Pope,SG,27,LAL,33,33,863,98,224,0.43799999999999994,51,127,0.402,47,97,0.485,39,46,0.848,15,63,78,47,26,9,34,55,286
82,Facundo Campazzo,PG,29,DEN,30,1,488,51,126,0.405,33,87,0.379,18,39,0.462,30,37,0.8109999999999999,5,26,31,62,29,7,25,57,165
83,Vlatko Čančar,PF,23,DEN,20,0,122,11,28,0.39299999999999996,3,14,0.214,8,14,0.5710000000000001,5,6,0.833,4,23,27,6,7,2,9,11,30
84,Clint Capela,C,26,ATL,32,32,949,208,353,0.589,0,0,,208,353,0.589,55,100,0.55,159,294,453,29,24,71,46,73,471
85,Vernon Carey Jr.,C,19,CHO,3,0,6,1,3,0.33299999999999996,0,1,0.0,1,2,0.5,1,2,0.5,2,1,3,1,0,1,0,0,3
86,Jevon Carter,PG,25,PHO,29,0,289,30,84,0.35700000000000004,17,57,0.298,13,27,0.48100000000000004,2,2,1.0,3,34,37,35,13,7,5,31,79
87,Wendell Carter Jr.,C,21,CHI,23,23,618,106,198,0.535,7,20,0.35,99,178,0.556,63,86,0.733,48,131,179,52,16,19,43,74,282
88,Michael Carter-Williams,SG,29,ORL,17,12,450,58,144,0.40299999999999997,8,31,0.258,50,113,0.442,29,38,0.763,27,55,82,70,10,9,32,50,153
89,Alex Caruso,PG,26,LAL,29,0,577,62,145,0.428,28,70,0.4,34,75,0.45299999999999996,16,23,0.696,17,63,80,70,30,6,32,51,168
90,Willie Cauley-Stein,C,27,DAL,31,10,537,70,112,0.625,1,6,0.16699999999999998,69,106,0.6509999999999999,31,48,0.6459999999999999,39,101,140,24,10,23,16,73,172
91,Chris Chiozza,PG,25,BRK,15,0,136,17,47,0.36200000000000004,9,23,0.391,8,24,0.33299999999999996,10,13,0.769,3,13,16,36,4,4,10,11,53
92,Marquese Chriss,PF,23,GSW,2,0,27,5,14,0.35700000000000004,1,5,0.2,4,9,0.444,2,4,0.5,3,10,13,2,0,2,2,3,13
93,Gary Clark,SF,26,ORL,30,11,572,33,112,0.295,26,95,0.27399999999999997,7,17,0.41200000000000003,8,9,0.889,29,66,95,25,11,6,15,31,100
94,Brandon Clarke,PF,24,MEM,27,16,726,140,272,0.515,15,46,0.326,125,226,0.5529999999999999,35,53,0.66,44,111,155,43,33,17,16,43,330
95,Jordan Clarkson,SG,28,UTA,36,0,937,237,530,0.447,114,308,0.37,123,222,0.5539999999999999,58,60,0.9670000000000001,31,113,144,82,34,7,62,54,646
96,Nicolas Claxton,C,21,BRK,5,0,76,20,29,0.69,0,1,0.0,20,28,0.7140000000000001,10,14,0.7140000000000001,4,13,17,5,5,7,2,8,50
97,Amir Coffey,SG,23,LAC,20,0,154,21,40,0.525,11,21,0.524,10,19,0.526,3,9,0.33299999999999996,3,12,15,8,4,0,8,11,56
98,John Collins,PF,23,ATL,36,36,1104,252,470,0.536,50,129,0.38799999999999996,202,341,0.5920000000000001,93,109,0.853,76,198,274,52,16,35,48,118,647
99,Mike Conley,PG,33,UTA,29,29,853,161,363,0.444,81,192,0.42200000000000004,80,171,0.46799999999999997,63,76,0.8290000000000001,28,73,101,164,42,3,54,56,466
100,Pat Connaughton,SG,28,MIL,33,0,697,78,176,0.44299999999999995,46,117,0.39299999999999996,32,59,0.542,14,17,0.8240000000000001,31,110,141,46,22,15,12,52,216
101,Quinn Cook,PG,27,LAL,16,0,62,12,26,0.462,5,13,0.385,7,13,0.5379999999999999,4,5,0.8,0,5,5,5,1,1,3,2,33
102,Tyler Cook,PF ,23,BRK,4,0,17,1,3,0.33299999999999996,0,0,,1,3,0.33299999999999996,0,0,,1,1,2,2,0,0,1,2,2
103,DeMarcus Cousins,C,30,HOU,25,11,506,79,210,0.376,39,116,0.336,40,94,0.426,44,59,0.746,30,161,191,60,21,18,39,74,241
104,Robert Covington,PF,30,POR,33,33,1054,91,243,0.374,57,171,0.33299999999999996,34,72,0.47200000000000003,23,28,0.821,27,191,218,55,53,39,40,85,262
105,Torrey Craig,SF,30,MIL,17,0,194,17,43,0.395,8,21,0.381,9,22,0.409,1,2,0.5,13,29,42,13,9,6,5,23,43
106,Jae Crowder,PF,30,PHO,32,19,883,109,271,0.402,77,205,0.376,32,66,0.485,29,35,0.8290000000000001,13,147,160,68,27,8,29,58,324
107,Jarrett Culver,SG,21,MIN,19,7,376,54,128,0.42200000000000004,8,35,0.22899999999999998,46,93,0.495,21,35,0.6,30,60,90,16,12,7,23,40,137
108,Seth Curry,SG,30,PHI,28,28,836,123,262,0.469,56,125,0.44799999999999995,67,137,0.489,48,52,0.9229999999999999,5,51,56,77,25,8,41,48,350
109,Stephen Curry,PG,32,GSW,35,35,1194,343,718,0.478,169,411,0.41100000000000003,174,307,0.5670000000000001,184,197,0.934,17,174,191,221,46,2,111,64,1039
110,Anthony Davis,PF,27,LAL,23,23,755,204,383,0.5329999999999999,17,58,0.293,187,325,0.575,93,130,0.715,47,146,193,70,31,41,45,42,518
111,Ed Davis,C,31,MIN,19,7,264,18,43,0.419,0,0,,18,43,0.419,7,8,0.875,38,59,97,19,10,10,6,49,43
112,Terence Davis,SG,23,TOR,30,3,442,79,187,0.42200000000000004,40,110,0.364,39,77,0.506,16,18,0.889,9,49,58,32,16,6,24,46,214
113,DeMar DeRozan,PF,31,SAS,29,29,981,194,401,0.484,16,52,0.308,178,349,0.51,175,196,0.893,22,120,142,209,25,8,49,55,579
114,Hamidou Diallo,SG,22,OKC ,32,5,761,143,297,0.48100000000000004,12,41,0.293,131,256,0.512,83,132,0.629,37,128,165,77,31,12,49,83,381
115,Gorgui Dieng,C,31,MEM,22,1,371,56,108,0.519,23,48,0.479,33,60,0.55,38,43,0.884,28,70,98,29,17,14,22,38,173
116,Spencer Dinwiddie,SG,27,BRK,3,3,64,6,16,0.375,2,7,0.28600000000000003,4,9,0.444,6,6,1.0,0,13,13,9,2,1,5,4,20
117,Donte DiVincenzo,SG,24,MIL,36,36,960,140,335,0.418,68,177,0.384,72,158,0.456,21,33,0.636,43,126,169,107,38,8,43,53,369
118,Luka Dončić,PG,21,DAL,32,32,1125,319,668,0.478,85,238,0.35700000000000004,234,430,0.544,193,255,0.757,27,242,269,287,32,22,133,64,916
119,Luguentz Dort,SG ,21,OKC,35,35,1040,149,384,0.38799999999999996,68,209,0.325,81,175,0.46299999999999997,66,88,0.75,24,97,121,51,31,10,52,85,432
120,Damyean Dotson,SG,26,CLE,30,6,565,79,197,0.401,29,104,0.27899999999999997,50,93,0.5379999999999999,18,26,0.6920000000000001,4,49,53,65,12,4,24,26,205
121,Devon Dotson,PG,21,CHI,1,0,10,2,4,0.5,0,0,,2,4,0.5,0,0,,0,1,1,0,0,0,0,1,4
122,Sekou Doumbouya,PF,20,DET,32,2,439,50,141,0.355,15,60,0.25,35,81,0.43200000000000005,19,26,0.731,16,57,73,22,13,2,18,50,134
123,PJ Dozier,SG,24,DEN,21,0,408,58,127,0.457,20,51,0.392,38,76,0.5,23,38,0.605,18,64,82,35,11,13,16,36,159
124,Goran Dragić,PG,34,MIA,22,8,596,116,253,0.45799999999999996,35,97,0.361,81,156,0.519,58,69,0.841,7,61,68,105,13,4,61,58,325
125,Andre Drummond,C,27,CLE,25,25,722,180,380,0.474,0,8,0.0,180,372,0.484,77,129,0.597,101,236,337,64,40,29,81,69,437
126,Jared Dudley,PF,35,LAL,11,0,76,2,7,0.28600000000000003,2,5,0.4,0,2,0.0,0,0,,4,15,19,5,1,1,2,7,6
127,Kevin Durant,PF,32,BRK,19,18,679,188,359,0.524,49,113,0.434,139,246,0.565,126,145,0.8690000000000001,7,132,139,100,14,27,67,43,551
128,Anthony Edwards,SG,19,MIN,36,19,1048,199,537,0.371,68,225,0.302,131,312,0.42,70,87,0.805,26,118,144,90,31,15,66,55,536
129,Carsen Edwards,SG,22,BOS,14,1,147,29,63,0.46,11,34,0.324,18,29,0.621,7,9,0.778,2,12,14,6,4,1,2,16,76
130,CJ Elleby,SF,20,POR,13,0,105,14,31,0.452,5,19,0.263,9,12,0.75,6,9,0.667,4,10,14,3,4,3,3,18,39
131,Wayne Ellington,SG,33,DET,28,24,650,103,227,0.45399999999999996,77,178,0.433,26,49,0.531,20,27,0.741,8,39,47,40,13,6,19,43,303
132,Joel Embiid,C,26,PHI,30,30,990,285,547,0.521,37,89,0.41600000000000004,248,458,0.541,298,348,0.856,65,283,348,98,37,41,96,75,905
133,James Ennis,SF,30,ORL,24,23,514,60,120,0.5,21,47,0.447,39,73,0.534,33,42,0.7859999999999999,26,67,93,32,20,6,21,53,174
134,Drew Eubanks,C,23,SAS,15,0,180,21,51,0.41200000000000003,0,0,,21,51,0.41200000000000003,14,20,0.7,9,37,46,9,1,16,8,19,56
135,Dante Exum,SG,25,CLE,6,3,116,10,26,0.385,2,11,0.182,8,15,0.5329999999999999,1,2,0.5,2,15,17,13,4,2,7,9,23
136,Tacko Fall,C,25,BOS,8,0,57,9,13,0.6920000000000001,0,0,,9,13,0.6920000000000001,3,8,0.375,8,13,21,1,0,10,1,10,21
137,Derrick Favors,C,29,UTA,34,0,550,85,131,0.649,0,1,0.0,85,130,0.654,45,57,0.789,65,122,187,28,18,31,21,83,215
138,Cristiano Felício,C,28,CHI,6,0,38,3,4,0.75,0,0,,3,4,0.75,5,8,0.625,6,6,12,5,2,0,3,3,11
139,Terrance Ferguson,SG,22,PHI,9,0,34,1,5,0.2,0,3,0.0,1,2,0.5,0,0,,0,1,1,2,0,0,3,5,2
140,Bruno Fernando,C ,22,ATL,18,0,151,11,25,0.44,0,2,0.0,11,23,0.478,9,15,0.6,13,47,60,9,2,2,15,17,31
141,Yogi Ferrell, PG,27,CLE,2,0,40,8,21,0.381,3,9,0.33299999999999996,5,12,0.41700000000000004,0,2,0.0,3,4,7,5,3,1,3,4,19
142,Dorian Finney-Smith,PF,27,DAL,25,25,787,77,180,0.428,41,119,0.345,36,61,0.59,10,12,0.833,36,92,128,34,25,10,15,67,205
143,Malachi Flynn,PG,22,TOR,15,0,125,12,45,0.267,5,26,0.192,7,19,0.368,4,6,0.667,1,10,11,16,4,0,4,12,33
144,Bryn Forbes,SG,27,MIL,36,6,675,121,259,0.467,73,163,0.44799999999999995,48,96,0.5,20,27,0.741,7,40,47,21,8,0,19,39,335
145,Trent Forrest,PG,22,UTA,7,0,20,0,3,0.0,0,2,0.0,0,1,0.0,2,2,1.0,0,2,2,4,2,0,1,2,2
146,Evan Fournier,SF,28,ORL,21,21,613,127,282,0.45,52,140,0.371,75,142,0.528,83,105,0.79,5,60,65,79,22,7,45,42,389
147,De'Aaron Fox,PG,23,SAC,35,35,1198,293,629,0.466,64,187,0.342,229,442,0.518,156,232,0.672,23,90,113,265,43,17,115,102,806
148,Tim Frazier,PG,30,MEM,3,0,33,2,8,0.25,0,2,0.0,2,6,0.33299999999999996,0,0,,0,4,4,7,1,0,3,4,4
149,Markelle Fultz,PG,22,ORL,8,8,215,41,104,0.39399999999999996,4,16,0.25,37,88,0.42,17,19,0.895,5,20,25,43,8,2,18,18,103
150,Wenyen Gabriel,PF,23, NOP,4,0,12,0,3,0.0,0,1,0.0,0,2,0.0,0,0,,1,4,5,1,0,0,0,0,0
151,Daniel Gafford,PF,22,CHI,26,11,343,50,75,0.667,0,0,,50,75,0.667,26,39,0.667,34,48,82,16,11,32,19,48,126
152,Danilo Gallinari,PF,32,ATL,24,2,525,81,207,0.391,47,121,0.38799999999999996,34,86,0.395,71,76,0.934,5,76,81,37,13,3,27,46,280
153,Langston Galloway,SG,29,PHO,25,0,262,38,82,0.46299999999999997,21,46,0.457,17,36,0.47200000000000003,16,16,1.0,4,22,26,16,4,0,7,14,113
154,Darius Garland,PG,21,CLE,28,25,922,179,407,0.44,48,125,0.384,131,282,0.465,45,53,0.8490000000000001,13,49,62,164,33,3,82,62,451
155,Marc Gasol,C,36,LAL,35,35,703,54,134,0.40299999999999997,31,85,0.365,23,49,0.469,29,36,0.8059999999999999,25,118,143,69,17,45,30,82,168
156,Rudy Gay,PF,34,SAS,26,0,572,108,258,0.419,41,112,0.366,67,146,0.45899999999999996,33,43,0.767,24,111,135,39,18,13,30,47,290
157,Paul George,SF,30,LAC,27,27,904,225,451,0.499,95,211,0.45,130,240,0.542,95,107,0.888,24,141,165,146,30,14,91,63,640
158,Taj Gibson,PF,35,NYK,12,0,181,18,31,0.581,2,7,0.28600000000000003,16,24,0.667,7,12,0.583,18,33,51,6,5,4,7,23,45
159,Harry Giles,C,22,POR,22,0,260,26,62,0.419,3,8,0.375,23,54,0.426,13,18,0.722,25,83,108,20,5,9,16,44,68
160,Shai Gilgeous-Alexander,SG,22,OKC,30,30,1020,239,468,0.511,61,148,0.41200000000000003,178,320,0.556,158,199,0.794,17,136,153,187,23,20,87,60,697
161,Anthony Gill,PF,280,WAS,12,1,67,3,10,0.3,1,7,0.14300000000000002,2,3,0.667,3,4,0.75,3,16,19,4,3,2,3,3,10
162,Rudy Gobert,C,28,UTA,36,36,1105,196,306,0.6409999999999999,0,1,0.0,196,305,0.643,118,197,0.599,120,352,472,48,17,98,64,82,510
163,Brandon Goodwin,PG,25,ATL,24,0,289,35,106,0.33,15,53,0.28300000000000003,20,53,0.377,17,24,0.708,3,24,27,43,10,0,13,23,102
164,Aaron Gordon,PF,25,ORL,19,19,552,91,213,0.42700000000000005,31,84,0.369,60,129,0.465,49,80,0.613,33,104,137,80,14,16,53,38,262
165,Eric Gordon,SG,32,HOU,26,12,763,153,350,0.43700000000000006,66,201,0.32799999999999996,87,149,0.584,92,110,0.836,7,49,56,70,14,13,50,41,464
166,Devonte' Graham,PG,25,CHO,25,25,821,109,310,0.35200000000000004,70,202,0.34700000000000003,39,108,0.361,55,71,0.775,14,61,75,142,25,0,35,38,343
167,Jerami Grant,SF,26,DET,33,33,1194,254,586,0.433,81,223,0.363,173,363,0.47700000000000004,184,207,0.889,24,152,176,96,25,36,62,90,773
168,Danny Green,SF,33, PHI,36,36,1018,106,270,0.39299999999999996,80,213,0.376,26,57,0.456,13,20,0.65,31,97,128,61,45,28,46,66,305
169,Draymond Green,PF,30,GSW,31,31,918,68,174,0.391,14,59,0.237,54,115,0.47,27,38,0.711,23,165,188,267,44,22,84,100,177
170,JaMychal Green,PF,30,DEN,25,4,512,80,180,0.444,41,96,0.42700000000000005,39,84,0.46399999999999997,27,32,0.8440000000000001,41,109,150,24,15,7,26,68,228
